A;3;[1, 1, 1];2;1
A;4;[2, 2, 1, 1];4;4
A;5;[3, 3, 2, 1, 1];8;12
A;5;[2, 2, 2, 2, 2];24;60
A;5;[3, 2, 2, 2, 1];14;28
A;6;[4, 3, 3, 2, 2, 1];48;144
A;6;[4, 3, 2, 2, 2, 2];80;280
A;6;[4, 4, 2, 2, 2, 1];28;70
A;6;[4, 3, 3, 3, 1, 1];28;70
A;6;[4, 4, 3, 2, 1, 1];16;32
A;6;[3, 3, 3, 3, 2, 1];80;280
A;6;[3, 3, 3, 2, 2, 2];132;528
B;2;[0.5, 0.5];2;1
B;3;[1.5, 1.5, 1.5];2;1
B;3;[0.5, 0.5, 0.5];14;28
B;3;[1.5, 1.5, 0.5];4;4
B;3;[1.5, 0.5, 0.5];8;12
B;4;[1.5, 1.5, 0.5, 0.5];132;528
B;4;[2.5, 2.5, 1.5, 0.5];8;12
B;4;[2.5, 1.5, 1.5, 0.5];28;70
B;4;[1.5, 1.5, 1.5, 1.5];48;144
B;4;[2.5, 1.5, 0.5, 0.5];48;144
B;4;[2.5, 2.5, 0.5, 0.5];16;32
B;4;[1.5, 1.5, 1.5, 0.5];80;280
B;4;[2.5, 2.5, 1.5, 1.5];4;4
B;4;[2.5, 1.5, 1.5, 1.5];14;28
B;4;[2.5, 0.5, 0.5, 0.5];80;280
B;5;[2.5, 2.5, 2.5, 2.5, 2.5];24;60
B;5;[3.5, 3.5, 1.5, 1.5, 0.5];56;168
B;5;[3.5, 3.5, 2.5, 0.5, 0.5];32;80
B;5;[3.5, 2.5, 2.5, 1.5, 1.5];48;144
B;5;[3.5, 3.5, 2.5, 1.5, 1.5];8;12
B;5;[2.5, 2.5, 2.5, 2.5, 1.5];80;280
B;5;[3.5, 2.5, 1.5, 1.5, 1.5];160;640
B;5;[3.5, 2.5, 2.5, 1.5, 0.5];96;336
B;5;[3.5, 3.5, 2.5, 1.5, 0.5];16;32
B;5;[3.5, 2.5, 2.5, 2.5, 1.5];14;28
B;5;[2.5, 2.5, 2.5, 2.5, 0.5];160;640
B;5;[3.5, 3.5, 1.5, 0.5, 0.5];96;336
B;5;[3.5, 3.5, 1.5, 1.5, 1.5];28;70
B;5;[3.5, 2.5, 2.5, 0.5, 0.5];164;656
B;5;[3.5, 2.5, 2.5, 2.5, 0.5];28;70
B;5;[3.5, 3.5, 0.5, 0.5, 0.5];160;640
B;6;[4.5, 3.5, 3.5, 3.5, 1.5, 1.5];28;70
B;6;[4.5, 3.5, 3.5, 2.5, 2.5, 0.5];96;336
B;6;[4.5, 4.5, 2.5, 2.5, 1.5, 1.5];96;336
B;6;[4.5, 3.5, 3.5, 3.5, 0.5, 0.5];112;392
B;6;[4.5, 4.5, 2.5, 2.5, 2.5, 1.5];28;70
B;6;[4.5, 3.5, 3.5, 3.5, 1.5, 0.5];56;168
B;6;[3.5, 3.5, 3.5, 2.5, 2.5, 2.5];132;528
B;6;[4.5, 3.5, 2.5, 2.5, 2.5, 2.5];80;280
B;6;[3.5, 3.5, 3.5, 3.5, 2.5, 1.5];80;280
B;6;[4.5, 4.5, 2.5, 2.5, 1.5, 0.5];192;768
B;6;[4.5, 3.5, 3.5, 2.5, 2.5, 1.5];48;144
B;6;[4.5, 4.5, 3.5, 2.5, 1.5, 0.5];32;80
B;6;[4.5, 4.5, 3.5, 1.5, 1.5, 1.5];56;168
B;6;[4.5, 4.5, 2.5, 2.5, 2.5, 0.5];56;168
B;6;[3.5, 3.5, 3.5, 3.5, 2.5, 0.5];160;640
B;6;[4.5, 4.5, 3.5, 1.5, 0.5, 0.5];192;768
B;6;[4.5, 3.5, 3.5, 2.5, 1.5, 1.5];164;656
B;6;[4.5, 4.5, 3.5, 1.5, 1.5, 0.5];112;392
